,x,x,R,R,H,H,mu,mu,syn_H,syn_H
334,0.8932534624792847,0.8428852194248794,0.0882339152559278,0.0993042582123137,0.0052521877457463,0.1470710303710024,0.0036726559387123855,0.004457682872929863,7.965509710677575e-06,0.001207390542941765
344,0.9230257644505628,0.8778531652939368,0.0898072896145063,0.1008224093855467,0.0051609444237091,0.1526718497854415,0.003225511477352994,0.003983347927822172,7.522353268934608e-06,0.0011682270379235263
354,0.95041546882119,0.9100856663595815,0.0915749307459987,0.1029460291624219,0.0050872109131106,0.1583542840572477,0.002881866433066255,0.003541699672578899,7.2873113085718155e-06,0.0011290867431776404
364,0.976026006429073,0.9396918663831452,0.0930689992581754,0.1050325278687281,0.0050256751749135,0.1641067813337909,0.002623960574737422,0.003150628528638572,7.0335997006995815e-06,0.0010922892346676137
374,0.9996798033693264,0.9666142052090856,0.0946075931148728,0.1069966917477764,0.0049761719255161,0.1699241281035155,0.0023661373232239454,0.0027852206889631757,6.823981180002846e-06,0.0010550108741204023
384,1.0211173620106917,0.9909531920807296,0.0962669979971746,0.1089087665309075,0.0049377981777613,0.1757573438327084,0.0020994216178199555,0.0024561187214644166,6.529145463344024e-06,0.0010150024755416639
394,1.0400725374341828,1.01292979229745,0.0979421073365277,0.110878537166721,0.0049145786215679,0.1817462820300706,0.0018224859075937894,0.002169607448002372,6.634794660229205e-06,0.000993211906875399
404,1.057115810570761,1.032675199186866,0.0997469009673294,0.1126172236364421,0.0048975291125078,0.1877319083991293,0.001612242761498015,0.0019120636290058557,6.1910549548565474e-06,0.0009575179909597034
414,1.072173843242065,1.0504050094127009,0.1014979224542285,0.1143372217840677,0.004889085409046,0.1936704718746859,0.0014044394727790858,0.0016879022916834725,6.022054188072441e-06,0.000920753180864362
424,1.0856478343245248,1.0662441785943035,0.1031330372813781,0.1160408234382826,0.0048853480985007,0.1995456390961586,0.0012411014563339553,0.0014855104955868957,5.689481585217565e-06,0.00088394386337321
434,1.0975590939344562,1.0805208699662796,0.1045084699502153,0.1175827453103026,0.0048880216662449,0.2052899683582297,0.0010852499583628478,0.0013212786322601626,5.57208208418894e-06,0.0008456781748162046
444,1.1081096984862482,1.0932334797209742,0.1057622923591647,0.1187248745151807,0.0048941815390271,0.2107791590228696,0.0009521263613345187,0.0011628448991462656,5.2758665386844654e-06,0.000794022536380071
454,1.117188554152735,1.1046433379889122,0.106758480186821,0.1199984044942375,0.0049076474024324,0.2161468771328053,0.0008126520481023218,0.0010328997492268024,5.33479605348075e-06,0.0007600298661802033
464,1.1250729567328086,1.114722531191592,0.1076238065750841,0.1210419470717397,0.0049250254808364,0.2212902362684465,0.0007007903383412275,0.000904188524107929,5.18921811345447e-06,0.0007144240056951794
474,1.1317480007353196,1.1237742598272873,0.1085350910042219,0.1220929483466625,0.0049450536062652,0.2263048977426784,0.0005897994958395371,0.000805475704443205,4.919402666754722e-06,0.0006837492443514221
484,1.1375941013803377,1.1318622561794909,0.1091290767369156,0.1230397471004812,0.0049659205172768,0.2310438834656038,0.0005139004006723095,0.0007145742609621033,4.638679644695385e-06,0.0006389965845697897
494,1.1428914157715586,1.1390598077461858,0.1096160704549601,0.124202962219741,0.0049893014590013,0.2355180207602816,0.00046350110938971046,0.0006318853073164264,4.650640933776843e-06,0.000596234106394447
504,1.1476022050015249,1.1455000048857706,0.1101727862435862,0.1249576964548769,0.0050143194786576,0.2396925396431135,0.00041048973323992537,0.0005622171202196632,4.5601286308039135e-06,0.0005522111376594766
