,x,x,R,R,H,H,mu,mu,syn_H,syn_H
364,0.4129351703181491,0.3100712262494375,0.1251996158748627,0.1578319551328332,0.0582527675583454,0.2307895143194653,0.006067729538895039,0.005774091209067601,0.00038047268986781925,0.0014860162497704538
374,0.4391680902234123,0.3295988598885929,0.1227934279750607,0.1537230517276119,0.0582626309347316,0.2315372233369211,0.0059733210333924956,0.005924666622255879,0.0003490077364618364,0.0014465517606596413
384,0.4662845501755998,0.350321255351624,0.1201602769591636,0.1498116184993184,0.0580500809743779,0.2319359635889213,0.005815431787730387,0.005915254968537852,0.00031633129014335036,0.0014118343862020019
394,0.4937842015076887,0.3718996103704844,0.1183926032479211,0.1456566628783095,0.0577641249449565,0.232106191364513,0.005569163867155586,0.005802198877639094,0.0002931022745191724,0.0013637490605874316
404,0.5212047378517213,0.3943059451673441,0.1159788949222904,0.1421992177465304,0.0574233195262896,0.2320424825789465,0.005260991382590522,0.005682474502724116,0.00026802304732086174,0.0013122046122470187
414,0.5484271380580277,0.4175555591751306,0.1133281986934047,0.138858105894244,0.0570442655035697,0.2319160592783146,0.004963722310077599,0.005568028851948586,0.0002452464910700683,0.001278672979228685
424,0.5753297595173843,0.4417768127884053,0.1111540234621245,0.1360945303379656,0.0567164822620601,0.2318177947795291,0.0046760350936693946,0.005482690107793365,0.00023242993729591128,0.0012611586803696465
434,0.6019517809251645,0.4668545968825547,0.1089379854072791,0.1338821762948445,0.0564302078686891,0.2317547675384917,0.004422616935672782,0.005371647673945503,0.00022094175366650006,0.001238602233870179
444,0.6283335023071651,0.4927020675733851,0.1067200977328456,0.1319404754473493,0.0561455842349478,0.2317689804371277,0.004198681318938121,0.0052460649938272375,0.00020727505229401196,0.0012172964247898466
454,0.65449507367628,0.5191343815625593,0.1051213101536496,0.1298953361999177,0.0558844358417582,0.2321650219117585,0.003997214405628159,0.005091613063579945,0.00019726723267811836,0.001221698605935313
464,0.6804172807170729,0.5459505385571446,0.1039656704589053,0.1278232712174808,0.0556504531488099,0.2329170670286748,0.0038097514239312314,0.004911829021261867,0.00018861612383126643,0.0012192533210702691
474,0.7059405162718242,0.5729000384106736,0.1026105757444934,0.1257787775399791,0.0553926321474698,0.2339220988504584,0.0036154937939450334,0.004704049231396756,0.0001744896176254472,0.0012008842514825752
484,0.7308056874397927,0.5997954990155563,0.1013394351766148,0.1239934434450097,0.0551626350967801,0.2352507795182291,0.0034024326295376576,0.004484105107328443,0.000164687444515594,0.0011877572887177585
494,0.7548418264143699,0.6264932293179972,0.100072828483943,0.1220751349653854,0.0549559279417458,0.2370352031187109,0.0031842616735684986,0.00426145551987915,0.00015432333957686345,0.001188557334784087
504,0.7778548706484891,0.6529542265035737,0.0986251401362951,0.1199311635972344,0.0547384456385433,0.2391130772171499,0.002958526725548878,0.0040525041590234135,0.0001401969240163845,0.0011767941497432851
514,0.7996856568342604,0.6791054357744806,0.0971986908341544,0.118140561625367,0.0545483848684367,0.241403773893331,0.0027299209382088286,0.0038508319759041417,0.00012990670098715946,0.0011586750392304844
524,0.8201667353520954,0.7050017510880525,0.0959586751322128,0.1169403074253373,0.0543948197141649,0.2440851615188407,0.0024971847351310233,0.003673227091082442,0.00012047739803323612,0.0011647189903732072
534,0.8393815386797246,0.7305120407791944,0.0944903418519108,0.1158912807274528,0.0542360259258934,0.2470498405193454,0.0022891620130045393,0.003492110775331171,0.00010827567145873441,0.001159193310171924
544,0.85728391509037,0.7556293176591213,0.0930247662273248,0.1151476740609593,0.054104244249206,0.2501511919643545,0.0020882669201554116,0.0033240209574898747,9.980593583688575e-05,0.0011416429491314958
554,0.8739886566862859,0.7803000881334408,0.091503265871381,0.1149313181443234,0.0540343718849856,0.2532080704466204,0.0019113224717642906,0.003161702894758667,9.628987280940204e-05,0.0011062565375339296
564,0.8896238701967185,0.8043976054049564,0.090325827703706,0.1151373557859711,0.0539527559785229,0.2563041956348078,0.0017575083171919924,0.002995722154019129,8.666082672141362e-05,0.0010774286758499826
574,0.904345030342528,0.8276999174313076,0.0893709488530978,0.1145560817161606,0.0538865909024326,0.2593722963428012,0.001627825625384786,0.002815309212385543,8.11014659265764e-05,0.0010370232861308217
584,0.9180884531279074,0.8502546268350765,0.0887597213512694,0.113944963885382,0.0538632193762645,0.2623457605910428,0.001496960640181879,0.0026527005783814265,7.829396674294026e-05,0.0009932711756799376
594,0.9312101645205972,0.8718562456056727,0.0885590651316071,0.1133015226764096,0.0538263729139709,0.2654683017329181,0.0014091031104074218,0.0024776583157455835,7.216226326566627e-05,0.000969993859542949
604,0.9438624415731792,0.8923606083815642,0.0888173218221828,0.1131879860600641,0.0537249580830805,0.2686191057514565,0.0013404789188871473,0.002297766461596662,6.187569063942445e-05,0.0009323043739936237
614,0.9560214228119448,0.9118077645163404,0.0887212334512569,0.1126846724432164,0.0536637075287846,0.2717074257332646,0.0012718314619982445,0.0021328131752740413,6.212613617299035e-05,0.0008883331756045138
624,0.9676716241094466,0.930184895974322,0.0885602085134638,0.1124303033303726,0.0536268795214188,0.274831125968054,0.001203941606557242,0.0019756428574055126,6.0880830749088797e-05,0.0008553381744904366
634,0.9790760140800788,0.9475355937376684,0.0886293734667213,0.1119793289436778,0.053556916478767,0.2778999158352638,0.0011648114964135394,0.0018311394187214111,5.538740776174773e-05,0.0008157524770662961
644,0.990269630421632,0.9639437853318163,0.0886540668662367,0.1118834862811256,0.053462065647453,0.2807460064455738,0.001130360459179908,0.0017021938253899123,5.094632194256093e-05,0.0007624931797055314
654,1.001049281304883,0.9795014345194836,0.0885776656648697,0.111413093247942,0.053392429166584,0.2836966701539406,0.0010768351852967336,0.0015883232672649812,5.053119826814168e-05,0.0007456683928877856
664,1.0113098174246276,0.994300969791436,0.0887558156749478,0.111030118333813,0.0533231026352604,0.2864471041239245,0.0010145789097423892,0.0014884361698909716,4.716784220340355e-05,0.0007014016275369612
674,1.0213400854844994,1.008462869461768,0.0891152576553105,0.1109781479596656,0.0532464197626065,0.289068284055982,0.0009820693618535219,0.001404305512793993,4.462339021185821e-05,0.000668058178079467
684,1.0311759301925545,1.02195595133129,0.0894055220761181,0.1112577119198178,0.0531835293758607,0.2917548128585853,0.0009538473911254329,0.0013203193202157616,4.443993207142705e-05,0.0006538623964434523
694,1.040509537971531,1.0349353349785255,0.0898051998115934,0.111205125661189,0.0531263495231007,0.2943701554383264,0.0008970227987695668,0.0012541250847817392,4.193756146162213e-05,0.0006307112541204157
