Time,OD,OD,OD,OD,OD,OD,RFP,RFP,RFP,RFP,RFP,RFP,GFP,GFP,GFP,GFP,GFP,GFP
Time,p2,p1,p2,p1,p2,p1,p2,p1,p2,p1,p2,p1,p2,p1,p2,p1,p2,p1
1020,0.682,0.762333333,0.780666667,0.780333333,0.809,0.809333333,289,256.3333333,340.3333333,263.6666667,364.6666667,322.6666667,844756,48428.33333,1795119.333,1033218.333,2215121.667,1452731.333
1035,0.683,0.764333333,0.784333333,0.783,0.812333333,0.812333333,295.3333333,270,356.6666667,266.6666667,375,322.6666667,858778,49204,1830602.333,1045788,2254304.667,1473593.667
1050,0.683333333,0.766666667,0.788,0.787,0.815333333,0.814666667,300,277.6666667,351.3333333,272.3333333,393.3333333,324.3333333,872175.6667,50679,1852504.333,1059471.333,2292984.667,1492253.333
1065,0.684,0.768666667,0.790333333,0.789333333,0.819333333,0.818,300.6666667,281.3333333,357,280.3333333,400.3333333,338.6666667,889588.6667,52169.66667,1884053.333,1073846.333,2328458.667,1515315
1080,0.683333333,0.771,0.793666667,0.791,0.823333333,0.821333333,310.3333333,281,367,285.3333333,410,332.3333333,906667.3333,53589.66667,1917764.667,1086105.667,2370042.667,1530647.667
1095,0.684,0.773,0.796666667,0.793333333,0.826666667,0.822666667,301,293,369,286,418,341,926267.6667,55013,1949003.667,1097017.333,2402656.667,1549757.667
1110,0.684666667,0.776,0.799333333,0.797,0.828666667,0.824666667,326,291.6666667,383.3333333,290,418,344.3333333,941648,56218.66667,1974176.667,1109603.667,2447276.667,1572498.333
1125,0.684666667,0.778666667,0.801,0.799333333,0.832,0.826666667,322.6666667,312.6666667,390,284,419.3333333,360,959881.6667,57573.66667,2002496,1124815,2486975.333,1591475.667
1140,0.686333333,0.780333333,0.803333333,0.800666667,0.835666667,0.828666667,324.6666667,307.6666667,391,307.6666667,438.3333333,361,980138.6667,58692.66667,2028879.667,1139589.667,2529876,1607864.667
1155,0.686333333,0.782333333,0.805333333,0.802,0.838,0.832,325,317,392,311,433.6666667,372,992436,60250.33333,2060445,1148907.667,2560513,1630747
1170,0.687333333,0.783666667,0.807333333,0.805666667,0.841,0.836,322.6666667,318,409.6666667,316.3333333,449.3333333,379,1011976.333,61438.66667,2086221.667,1162260,2599754.667,1646169.667
1185,0.687333333,0.784333333,0.808666667,0.807333333,0.843,0.837666667,326,310.3333333,402.3333333,317,451.3333333,380.6666667,1031512,62999.33333,2121872.333,1175583.333,2632634.333,1668006.667
1200,0.687333333,0.787,0.810666667,0.808333333,0.844,0.84,339.6666667,334.3333333,420.3333333,326.6666667,459,385.3333333,1045664.333,64254,2144044.333,1189396,2664722.667,1682706.667
1215,0.688,0.789,0.812,0.81,0.847333333,0.841,346,335.3333333,430,328.3333333,471.3333333,389.3333333,1065578.667,65875.33333,2172210.667,1200068.333,2703994.667,1701850
1230,0.69,0.790666667,0.813666667,0.812666667,0.848666667,0.843333333,343.6666667,337.6666667,431,336.3333333,463.3333333,399,1085173,67251.33333,2191105,1208923,2742356.667,1713441.333
1245,0.690666667,0.792,0.815666667,0.814333333,0.850666667,0.845333333,364,338.3333333,435.3333333,348.3333333,488,408.3333333,1101744,68487,2217395.333,1219824.333,2769526.667,1735765
1260,0.692,0.794333333,0.816333333,0.815666667,0.851,0.845666667,353,348.3333333,441.3333333,349.3333333,484.6666667,404.3333333,1121683.667,69729.66667,2244773.667,1228466,2814145.333,1755292
1275,0.691,0.793666667,0.818,0.817,0.853,0.847666667,370.3333333,350,446.3333333,349.3333333,497,413.6666667,1140120,71379,2273546.333,1241173,2853014.333,1766266
1290,0.691666667,0.798666667,0.818666667,0.818333333,0.854666667,0.849333333,365.3333333,359.6666667,458.6666667,356.3333333,511.3333333,422.6666667,1160278.333,72486,2294637.667,1254477.667,2883619.333,1789951
1305,0.691333333,0.797,0.820333333,0.818666667,0.856,0.850333333,374,357.6666667,454.6666667,360,503.6666667,421,1181635.333,74103,2319257.333,1264657.333,2923659.667,1805835.333
1320,0.693,0.799666667,0.819666667,0.819333333,0.857333333,0.851333333,372,380.3333333,468.6666667,374.6666667,522,426.6666667,1197517.333,75239.33333,2344938.333,1272413.667,2960125.667,1823674
1335,0.694333333,0.801,0.821666667,0.822333333,0.857666667,0.852666667,378.6666667,372.3333333,481,378.3333333,528.6666667,435.6666667,1221177,76841,2370626,1285489,2990455.667,1839674.667
1350,0.694666667,0.802666667,0.822,0.823333333,0.858666667,0.853666667,385.6666667,386.3333333,484.6666667,372.6666667,542,440.3333333,1240915,78212,2405615,1293352,3024067.667,1854789.667
1365,0.696333333,0.804333333,0.823,0.824,0.86,0.855666667,386,379.3333333,489.6666667,375.3333333,555.3333333,446,1261505,79571.33333,2418936.667,1306037,3060606.667,1869490.333
1380,0.697333333,0.805,0.823666667,0.824666667,0.860666667,0.856666667,397.6666667,384.3333333,498,399,539.6666667,448.6666667,1283370.667,81068,2449164.333,1315892.667,3096182.667,1884894.667
1395,0.698333333,0.806666667,0.824,0.826333333,0.861666667,0.857333333,397.6666667,392,505.6666667,378,558,464,1306572.333,81824.33333,2476140,1331625,3135372.333,1902400.333
1410,0.699333333,0.806666667,0.824666667,0.828333333,0.862,0.857666667,402.3333333,391,513.3333333,393.6666667,573.3333333,468.3333333,1326449,83674,2494139.333,1337473.667,3172524.333,1918297.667
1425,0.7,0.808666667,0.824666667,0.829333333,0.864333333,0.859666667,412,400,514.3333333,409.3333333,587.6666667,460.3333333,1351872,84597.66667,2515755.333,1346082.333,3210078,1933911
1440,0.702333333,0.809,0.825333333,0.829666667,0.864333333,0.860333333,412.3333333,409,512.6666667,413.3333333,578.3333333,476.3333333,1375119.333,86106,2547427.667,1352983.667,3251002.333,1947459.333
